emp_no,dept_no,dept_name,first_name,last_name,gender,hire_date,salary,title
10011,d009,"Customer Service",Mary,Sluis,F,1990-01-22,42365,Staff
10011,d009,"Customer Service",Mary,Sluis,F,1990-01-22,44200,Staff
10011,d009,"Customer Service",Mary,Sluis,F,1990-01-22,48214,Staff
10011,d009,"Customer Service",Mary,Sluis,F,1990-01-22,50927,Staff
10011,d009,"Customer Service",Mary,Sluis,F,1990-01-22,51470,Staff
10011,d009,"Customer Service",Mary,Sluis,F,1990-01-22,54545,Staff
10011,d009,"Customer Service",Mary,Sluis,F,1990-01-22,56753,Staff
10038,d009,"Customer Service",Huan,Lortz,M,1989-09-20,40000,"Senior Staff"
10038,d009,"Customer Service",Huan,Lortz,M,1989-09-20,43527,"Senior Staff"
10038,d009,"Customer Service",Huan,Lortz,M,1989-09-20,46509,"Senior Staff"
10038,d009,"Customer Service",Huan,Lortz,M,1989-09-20,49874,"Senior Staff"
10038,d009,"Customer Service",Huan,Lortz,M,1989-09-20,52969,"Senior Staff"
10038,d009,"Customer Service",Huan,Lortz,M,1989-09-20,56629,"Senior Staff"
10038,d009,"Customer Service",Huan,Lortz,M,1989-09-20,58079,"Senior Staff"
10038,d009,"Customer Service",Huan,Lortz,M,1989-09-20,60322,"Senior Staff"
10038,d009,"Customer Service",Huan,Lortz,M,1989-09-20,62274,"Senior Staff"
10038,d009,"Customer Service",Huan,Lortz,M,1989-09-20,62517,"Senior Staff"
10038,d009,"Customer Service",Huan,Lortz,M,1989-09-20,62458,"Senior Staff"
10038,d009,"Customer Service",Huan,Lortz,M,1989-09-20,64238,"Senior Staff"
10038,d009,"Customer Service",Huan,Lortz,M,1989-09-20,64254,"Senior Staff"
10038,d009,"Customer Service",Huan,Lortz,M,1989-09-20,40000,Staff
10038,d009,"Customer Service",Huan,Lortz,M,1989-09-20,43527,Staff
10038,d009,"Customer Service",Huan,Lortz,M,1989-09-20,46509,Staff
10038,d009,"Customer Service",Huan,Lortz,M,1989-09-20,49874,Staff
